Name,Vial,Patch,Mpatch,Flag,Year,Date,Check,Species,Capt,Tag_start,Mark,Sex,Weight,Colour,White.spot,WS.position,Testes,Vagina,Pubic.bone,Pregnant,Nipples,Lactating,Mites,Ticks,Fleas,Fur.loss,Biopsy,Blood,Isolate,Severity,Bleeder,Comments,Urinate,Deficate,Resists,Pushing,Bites,Squeaks,Handling,Docility,Corrected.Mark
gp,vc01,sgi39,NA,aa05,2020,22/07/2020,3,wv,r,10517254,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,10517254
gp,Tag_not_Found,sgi39,NA,p26,2020,22/07/2020,3,wv,r,10866293,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,10866293
gp,Tag_not_Found,sgi39,NA,da4,2020,22/07/2020,3,wv,r,5599480,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5599480
gp,lm207,sgi39,NA,c12,2020,22/07/2020,3,wv,r,5670699,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5670699
gp,Tag_not_Found,sgi39,NA,p24,2020,22/07/2020,3,wv,r,10516903,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,10516903
gp,vc05,sgi44,NA,p63,2020,22/07/2020,3,wv,r,5668018,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5668018
gp,vc06,sgi44,NA,fo9,2020,22/07/2020,3,wv,r,10504883,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,10504883
gp,lm214,sgi0103,NA,cl25,2020,22/07/2020,2,wv,r,10848959,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,10848959
gp,lm216,sgi0103,NA,x12,2020,22/07/2020,2,wv,r,6476256,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,6476256
gp,lm232,led2223,NA,a54,2020,02/08/2020,3,wv,r,10864370,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,1,1,m,lm,,NA,NA,NA,NA,NA,NA,NA,0,10864370
gp,lm233,led2728,NA,p57,2020,02/08/2020,3,wv,r,5600773,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5600773
gp,hb21,led2425,NA,ab54,2020,08/08/2020,3,wv,r,6470023,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,6470025
gp,vc20,led2425,NA,aa71,2020,08/08/2020,3,wv,r,6498073,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,6498073
gp,lm239,led19,NA,x27,2020,12/08/2020,2,wv,r,5678812,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5678812
gp,,sgi3637,NA,p21,2020,19/08/2020,3,wv,r,5664408,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5664408
lm,lm200,led1415,NA,x29,2020,20/07/2020,3,wv,r,5596071,NA,m,NA,bl,NA,,,,,,NA,,NA,NA,0,NA,NA,1,1,m,lm,couldn't get big enough blooss sample,NA,NA,NA,NA,NA,NA,NA,0,5596071
lm,lm202,led1415,NA,f28,2020,20/07/2020,3,wv,r,6485276,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,6485276
lm,vc01,sgi39,NA,aa05,2020,21/07/2020,2,wv,r,10517254,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,10517254
lm,vc05,sgi44,NA,da8,2020,21/07/2020,2,wv,r,5668018,NA,f,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,bloodspot and vagina open so closed traps around ,NA,NA,NA,NA,NA,NA,NA,0,5668018
lm,lm207,sgi39,NA,c12,2020,23/07/2020,4,wv,r,5670699,NA,,NA,,NA,,,,,,NA,,NA,NA,NA,NA,NA,NA,NA,,,,1,1,1,1,1,1,1,7,5670699
lm,lm206,sgi39,NA,p26,2020,23/07/2020,4,wv,r,5601277,NA,,NA,,NA,,,,,,NA,,NA,NA,NA,NA,NA,NA,NA,,,dazed very pregnant,0,0,1,0,0,0,0,1,5601272
lm,gp201,sgi44,NA,cl2,2020,23/07/2020,4,wv,r,10516953,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,0,0,0,1,1,0,1,3,10516953
lm,vc05,sgi44,NA,p63,2020,23/07/2020,4,wv,r,5668018,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,1,1,1,1,1,0,1,6,5668018
lm,lm211,sgi44,NA,f09,2020,23/07/2020,4,wv,r,5655885,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,0,0,1,1,0,0,1,3,5655885
lm,gp202,sgi0103,NA,l14,2020,23/07/2020,3,wv,r,10501714,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,10501714
lm,lm214,sgi0103,NA,cl71,2020,23/07/2020,3,wv,r,10848959,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,10848959
lm,lm216,sgi0103,NA,x2,2020,23/07/2020,3,wv,r,6476256,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,6476256
lm,vc18,led2425,NA,ab04,2020,07/08/2020,2,wv,r,5598346,NA,,NA,,NA,,,,,,NA,,NA,NA,0,NA,NA,1,1,m,lm,,1,1,0,0,0,0,1,3,5598346
lm,elb25,cro1015,NA,,2020,08/08/2020,3,wv,r,5672531,NA,,NA,,NA,,,,,,NA,,NA,NA,2,NA,NA,1,1,m,lm,,0,1,1,1,1,0,1,5,5672531
lm,,sgi3637,NA,x25,2020,18/08/2020,2,wv,r,5664408,NA,,NA,bl/br,NA,,,,,,NA,,NA,NA,NA,NA,NA,1,1,m,lm,,NA,NA,NA,NA,NA,NA,NA,0,5664408
lm,gp222,lei11,NA,aa4,2020,14/08/2020,3,wv,r,10525765,NA,,NA,,NA,,,,,,NA,,NA,NA,NA,NA,NA,NA,NA,,,,0,0,1,1,0,1,1,4,10525765
lm,gp221,lei11,NA,cl54,2020,14/08/2020,3,wv,r,6498828,NA,,NA,,NA,,,,,,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,6498878
lm,lm238,led2021,NA,hr2,2020,14/08/2020,3,wv,r,5681299,NA,,NA,,NA,,,,,,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,NA,NA,NA,0,5681299
gp,gp204,led09,NA,blank,2020,28/07/2020,2,wv,r,10505346,NA,m,NA,,NA,,,,,,NA,,NA,0,0,NA,0,1,NA,m,lm,,0,0,0,0,1,1,1,3,10505346
gp,gp205,led11,NA,blank,2020,28/07/2020,2,wv,r,6502085,NA,m,NA,,NA,,,,,,NA,,1,0,0,NA,0,1,NA,m,lm,,1,0,0,0,0,0,0,1,10502085
