"","X.1","X","Name","Vial","Patch","Mpatch","Flag","Year","Date","Check","Species","Capt","Tag_start","Mark","Sex","Weight","Colour","White.spot","WS.position","Testes","Vagina","Pubic.bone","Pregnant","Nipples","Lactating","Mites","Ticks","Fleas","Fur.loss","Biopsy","Blood","Isolate","Severity","Bleeder","Comments","Urinate","Deficate","Resists","Pushing","Bites","Squeaks","Handling","Docility","Corrected.Mark"
"137",137,137,"hb","hbna","led2425",NA,"a55",2020,"08/08/2020",3,"fv","r",NA,"","m",30,"",NA,"","","","","",NA,"",0,0,0,0,NA,NA,NA,"","","",0,0,0,0,1,0,0,1,NA
"138",138,138,"hb","hb28","led2425",NA,"cl72",2020,"08/08/2020",3,"wv","n","5669085",NA,"f",220,"bl/br",0,"","","p","open","Y",4,"N",2,0,0,0,1,0,NA,"","","",1,1,0,0,0,1,0,3,"5669085"
"139",139,139,"hb","hb29","sgi11",NA,"da4",2020,"18/08/2020",2,"wv","r","5595189",NA,"m",NA,"",NA,"","","","","",NA,"",1,0,0,NA,NA,NA,NA,"","","",1,0,0,1,1,1,2,6,"5595189"
"140",140,140,"hb","hb31","sgi0810",NA,"d12",2020,"18/08/2020",2,"wv","nr","5663879",NA,"m",145,"bl",0,"","s","","","",NA,"",1,0,0,0,0,0,NA,"","","",1,1,0,0,0,0,0,2,"5663879"
"141",141,141,"hb","hb32","sgi0810",NA,"blank",2020,"18/08/2020",2,"wv","n","5600182",NA,"f",100,"bl",0,"","","np","closed","N",0,"N",0,0,0,0,1,NA,NA,"","","",0,0,0,0,0,0,0,0,"5600182"
"142",142,142,"hb","hb34","sgi1213",NA,"p40",2020,"18/08/2020",2,"wv","n","","","",NA,"",NA,"","","","","",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","Didn't perform procedure as the tail was sererly damaged (could not handle securely)",NA,NA,NA,NA,NA,NA,NA,0,""
"143",143,143,"hb","hb29","sgi11",NA,"dal",2020,"19/08/2020",3,"wv","r","5595189",NA,"m",NA,"",NA,"","","","","",NA,"",0,0,0,NA,NA,NA,NA,"","","",0,0,1,0,0,0,2,3,"5595189"
"144",144,144,"hb","hb33","sgi0810",NA,"c22",2020,"19/08/2020",3,"wv","n","5664510",NA,"f",155,"bl",0,"","","np","closed","N",1,"N",NA,0,0,0,1,1,NA,"m","","Too wet for mites",1,0,1,0,0,0,0,2,"5664510"
"145",145,145,"hb","hb32","sgi0810",NA,"cl33",2020,"19/08/2020",3,"wv","r","5600182",NA,"f",100,"bl",0,"","","np","closed","N",NA,"",NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,0,"5600182"
"146",146,146,"vc","vc01","sgi39",NA,"aa05",2020,"2020-07-20",1,"wv","n","517254",NA,"m",85,"bl/br",2,"head","ns",NA,NA,NA,NA,NA,0,0,0,0,1,1,1,"m","xl","",1,1,0,0,0,1,0,3,"10517254"
"147",147,147,"vc","vc02","sgi39",NA,"p4",2020,"2020-07-20",1,"wv","n","516709",NA,"m",215,"bl/br",1,"head","s",NA,NA,NA,NA,NA,0,10,0,5,1,1,1,"m","xl","",1,1,1,0,1,1,1,6,"516709"
