Name,Vial,Patch,Mpatch,Flag,Year,Date,Check,Species,Capt,Tag_start,Mark,Sex,Weight,Colour,White.spot,WS.position,Testes,Vagina,Pubic.bone,Pregnant,Nipples,Lactating,Mites,Ticks,Fleas,Fur.loss,Biopsy,Blood,Isolate,Severity,Bleeder,Comments,Urinate,Deficate,Resists,Pushing,Bites,Squeaks,Handling,Docility
lm,lm209,sgi39,,da4,2020,2020-07-21,2,wv,n,5399420,,f,,bl,1,back,NA,np,closed,Y,3,Y,0,2,0,0,1,1,1,m,xl,,,,,,,,,0
lm,lm210,sgi39,,p24,2020,2020-07-21,2,wv,n,5597899,,m,,bl,1,back,ns,,,,,,0,3,0,0,1,1,1,m,xl,,,,,,,,,0
lm,vc01,sgi39,,aa05,2020,2020-07-21,2,wv,r,10517254,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
lm,vc05,sgi44,,da8,2020,2020-07-21,2,wv,r,5668018,,f,,,,,,,,,,,,,0,,,,,,,bloodspot and vagina open so closed traps around ,,,,,,,,0
lm,lm211,sgi44,,f09,2020,2020-07-21,2,wv,n,5655885,,f,180,bl,0,NA,NA,p,open,Y,2,N ,0,0,1,,1,1,1,m,xl,,0,1,1,1,1,1,1,6
lm,lm212,sgi44,,p51,2020,2020-07-21,2,wv,n,10864798,,f,190,bl/br,0,NA,NA,p,open,Y,4,Y,NA,2,0,0,1,1,1,m,xl,bloodspot + wet,1,1,1,1,0,1,1,6
lm,lm213,sgi44,,a76,2020,2020-07-21,2,wv,n,10505144,,m,140,bl,1,head,s,,,,,,1,8,0,0,1,1,1,m,xl,,0,0,1,1,1,1,2,6
lm,lm214,sgi0103,,cl42,2020,2020-07-21,1,wv,n,10848959,,m,145,bl,0,NA,ms,,,,,,0,2,0,0,1,1,1,m,xl,,0,1,1,1,2,2,2,9
lm,lm215,sgi0103,,x25,2020,2020-07-21,1,wv,n,6476389,,f,140,bl,1,head,NA,p,closed,N,3,N ,0,0,0,0,1,1,1,m,xl,,0,1,1,1,0,1,1,5
lm,lm216,sgi0103,,da6,2020,2020-07-21,1,wv,n,6476256,,m,190,bl/br,0,NA,s,,,,,,0,8,0,0,1,1,1,m,xl,,,,,,,,,0
lm,lm217,sgi39,,d14,2020,2020-07-23,4,wv,n,5601822,,f,160,bl,1,back,NA,p,open,Y,4,Y,0,5,0,0,1,0,0,,,blood spot; kink tail,1,0,1,1,2,0,1,6
lm,,sgi39,,c12,2020,2020-07-23,4,wv,r,5670699,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,7
lm,lm218,sgi39,,x33,2020,2020-07-23,4,wv,n,5600906,,m,100,bl,1,head,s,,,,,,0,0,0,0,1,1,1,m,lm,,0,0,1,1,1,1,1,5
lm,,sgi39,,p26,2020,2020-07-23,4,wv,r,5601277,,,,,,,,,,,,,,,,,,,,,,dazed very pregnant,0,0,1,0,0,0,0,1
lm,lm219,sgi39,,cl16,2020,2020-07-23,4,wv,n,6485399,,m,60,bl,1,head,ns,,,,,,0,0,0,0,1,1,1,m,lm,wet,0,1,0,0,0,1,0,2
lm,,sgi44,,cl2,2020,2020-07-23,4,wv,r,10516953,,,,,,,,,,,,,,,0,,,,,,,,0,0,0,1,1,0,1,3
lm,,sgi44,,p63,2020,2020-07-23,4,wv,r,5668018,,,,,,,,,,,,,,,0,,,,,,,,1,1,1,1,1,0,1,6
lm,,sgi44,,f09,2020,2020-07-23,4,wv,r,5655885,,,,,,,,,,,,,,,0,,,,,,,,0,0,1,1,0,0,1,3
lm,,sgi0103,,l14,2020,2020-07-23,3,wv,r,10501714,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
lm,,sgi0103,,cl71,2020,2020-07-23,3,wv,r,10848959,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
lm,lm220,sgi0103,,da6,2020,2020-07-23,3,wv,n,10504904,,f,90,bl,1,head,,p,closed,N,2,N ,3,1,0,0,1,1,1,m,lm,,1,1,1,1,0,1,1,6
lm,,sgi0103,,x2,2020,2020-07-23,3,wv,r,6476256,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
lm,lm222,led01,,l29,2020,2020-07-27,1,fv,n,,rs,m,30,br,,,ns,,,,,,0,0,0,0,,,,,,,,,,,,,,0
lm,lm223,led0708,,p14,2020,2020-07-27,1,fv,n,,ls,m,30,br,,,s,,,,,,0,0,0,0,,,,,,,,,,,,,,0
lm,lm224,led0708,,p26,2020,2020-07-27,1,wv,nr,5663820,,,210,bl,,,s,,,,,,0,1,0,0,1,1,1,m,lm,,1,1,1,1,1,0,1,6
lm,lm225,led0708,,p52,2020,2020-07-27,1,fv,n,,,,40,br,,,s,,,,,,0,0,0,0,,,,,,missing tail,,,,,,,,0
lm,lm226,led0708,,cl58,2020,2020-07-27,1,fv,n,,rs,,40,br,,,s,,,,,,0,0,0,0,,,,,,,,,,,,,,0
lm,elb07 ,led01,,x13,2020,2020-07-31,3,wv,n,6476079,,m,40,bl,1,head,ns,,,,,,0,1,0,0,1,1,1,m,lm,,1,0,0,0,0,1,1,3
lm,lm227,led01,,x10,2020,2020-07-31,3,fv,n,,NA,m,20,br,,,s,,,,,,0,0,0,0,,1,0,m,lm,,,,,,,,,0
lm,lm228,led01,,l29,2020,2020-07-31,3,fv,n,,,m,30,br,,,s,,,,,,0,2,0,0,,1,0,m,lm,messed up the bleed,,,,,,,,0
lm,lm229,led01,,cl25,2020,2020-07-31,3,fv,n,,,m,20,br,,,s,,,,,,0,1,0,0,,1,1,m,lm,unsheated tail,,,,,,,,0
lm,lm230,led0708,,16,2020,2020-07-31,3,wv,n,10516701,,m,140,bl,2,head,s,,,,,,0,2,0,0,1,1,1,m,lm,what a bastard,1,1,1,1,2,2,2,10
lm,,led0708,,,2020,2020-07-31,3,fv,n,,,,,,,,,,,,,,,,,,,,,,,dead,,,,,,,,0
lm,lm231,ledx,,cl80,2020,2020-08-02,1,wv,n,10872218,,f,50,bl,1,head,,np,closed,N,0,N ,6,1,1,0,1,1,1,m,lm,,1,1,1,1,1,1,1,7
lm,lm232,led2223,,b82,2020,2020-08-02,1,wv,n,10864370,,m,140,bl,1,head,s,,,,,,3,0,0,1,1,1,1,m,lm,,0,1,1,1,1,1,2,7
lm,lm233,cro1015,,blank,2020,2020-08-06,1,fv,n,,rh,m,40,br,,,s,,,,,,0,0,1,,1,1,1,m,lm,,,,,,,,,0
lm,lm234,led2425,,p77,2020,2020-08-07,2,wv,n,10872559,,m,140,bl,1,head,s,,,,,,8,0,0,0,1,1,1,m,lm,,1,0,1,1,0,1,1,5
lm,,led2425,,ab04,2020,2020-08-07,2,wv,r,5598346,,,,,,,,,,,,,,,0,,,1,1,m,lm,,1,1,0,0,0,0,1,3
lm,lm235,led2425,,b33,2020,2020-08-07,2,wv,n,10864776,,f,150,bl,,,,p,open,Y,4,Y,0,0,0,1,1,1,1,m,lm,,0,1,1,1,1,0,1,5
lm,,led2425,,,2020,2020-08-07,2,fv,r,,,,,,,,,,,,,,,,0,,,,,,,bit off his own tail,,,,,,,,0
lm,lm236,led2425,,,2020,2020-08-07,2,wv,n,8668921,,f,140,bl,1,head,,p,open,Y,4,Y,0,0,0,0,1,1,1,m,lm,,,,,,,,,0
lm,,cro1015,,,2020,2020-08-08,3,fv,n,,NA,m,40,,,,s,,,,,,0,0,0,0,1,1,1,m,lm,,,,,,,,,0
lm,,cro1015,,,2020,2020-08-08,3,wv,r,5672531,,,,,,,,,,,,,,,2,,,1,1,m,lm,,0,1,1,1,1,0,1,5
lm,lm237,lei18,,p28,2020,2020-08-11,1,wv,n,5663128,,m,110,bl,0,NA,s,,,,,,0,1,0,1,1,1,1,m,lm,,0,0,1,1,0,1,1,4
lm,elb33,lei21,,a15,2020,2020-08-11,1,fv,n,,ls,m,40,,,,s,,,,,,0,0,0,0,1,1,1,m,lm,,,,,,,,,0
lm,elb33,lei21,,cl71,2020,2020-08-12,1,fv,r,,ls,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0
lm,lm238,led2021,,cl33,2020,2020-08-12,1,wv,n,5681299,,m,150,bl,2,other,s,,,,,,NA,24,0,0,1,1,1,m,lm,"head, tail were white spot position, wet so couldn't see mites",0,1,1,1,1,1,1,6
lm,lm239,led19,,x27,2020,2020-08-12,1,wv,n,5678812,,f,40,bl,1,head,,np,closed,N,0,N ,1,6,3,0,1,1,1,m,lm,,1,1,1,1,1,1,1,7
lm,,lei21,,p15,2020,2020-08-13,3,wm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
lm,elb33,lei21,,blank,2020,2020-08-13,3,fv,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0
lm,hb29,sgi11,,f28,2020,2020-08-17,1,wv,n,5595189,,m,120,bl,1,limbs,s,,,,,,2,0,0,1,1,1,1,m,lm,,0,0,0,1,1,0,0,2
lm,,sgi0810,,cl23,2020,2020-08-17,1,cs,n,,,,,,,,,,,,,,,,,,,,,,,dead,,,,,,,,0
lm,hb30,sgi0407,,f09,2020,2020-08-17,1,wv,n,5597373,,m,150,bl,1,head,s,,,,,,3,0,1,1,1,1,1,m,lm,flea escaped??,0,0,1,1,0,0,0,2
lm,,sgi3637,,x25,2020,2020-08-18,2,wv,r,5664408,,,,bl/br,,,,,,,,,,,,,,1,1,m,lm,,,,,,,,,0
